emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
Patent examiner,0,TX,MORTGAGE,98318,Not Verified,15.72,234313.0,Verified,10.64,0,46.0,2017,6,45,24,91122,3481,0,4,,1,4634,4,2,4,11,1,2,4,7246,21,8,1,4,78.0,0,0,medical,individual,19346,36,8.83,841.13,C,B1,Mar-2024,Current,fractional,Cash,188.23,13204.08,6256.41,2831.85,344.7
Health and safety adviser,4,FL,MORTGAGE,42354,Verified,5.82,,Not Verified,22.09,0,,2016,9,41,15,33969,18894,0,0,,2,2108,3,14,11,18,0,1,2,18414,4,1,9,1,74.4,0,1,small_business,individual,41811,36,18.15,1229.74,E,C2,Apr-2025,Late (31-120 days),fractional,DirectPay,19812.09,24894.78,26635.18,6554.89,173.65
Naval architect,0,TX,MORTGAGE,145973,Verified,30.41,,Verified,,0,,1998,4,44,10,116093,34897,2,2,27.0,1,1507,5,1,13,9,1,1,2,3478,12,6,0,1,77.8,0,0,moving,individual,29119,60,13.14,882.39,B,A1,Sep-2023,Current,fractional,Cash,12972.87,18261.16,8708.07,1852.62,294.85
Restaurant manager,0,PA,RENT,82609,Verified,38.73,80915.0,Verified,,0,,1991,1,38,24,230654,156925,2,2,,2,1900,0,10,3,2,0,1,6,46348,5,9,7,2,81.6,0,0,credit_card,joint,26868,60,17.32,726.16,D,A1,Mar-2025,Current,fractional,Cash,4228.87,15168.85,1985.38,5242.94,107.54
Civil Service fast streamer,6,NJ,OWN,27281,Verified,18.28,,Verified,,0,,2003,4,23,6,294020,268130,1,3,,0,2435,1,10,19,17,1,0,8,48898,11,12,7,0,78.3,0,0,home_improvement,individual,47386,36,12.65,2494.0,A,E2,Mar-2025,Current,whole,Cash,15081.03,14836.26,32321.17,7583.26,482.81
Podiatrist,3,NC,MORTGAGE,158467,Not Verified,6.43,,Source Verified,,0,47.0,2000,9,40,7,71402,6868,1,1,,0,1936,6,11,11,10,1,0,3,43470,17,12,4,0,62.4,0,0,medical,individual,24903,60,22.14,592.93,A,C1,Oct-2023,Current,whole,DirectPay,4247.12,15729.2,6045.86,3806.47,102.35
Air broker,9,AZ,RENT,165855,Not Verified,17.59,201020.0,Source Verified,,0,,2010,0,49,11,209812,140158,0,2,85.0,2,3437,6,5,0,6,0,0,3,17230,15,11,7,4,75.1,0,1,medical,joint,45990,60,20.24,1277.5,E,E1,Aug-2025,Current,whole,DirectPay,1032.24,18057.92,33295.22,6590.68,30.29
"Librarian, academic",5,CA,RENT,79631,Verified,10.67,132852.0,Verified,,0,,1998,1,20,6,211820,158559,1,1,,2,909,5,13,18,19,1,2,6,34889,1,6,1,1,84.1,0,1,small_business,individual,41829,36,7.42,1230.26,A,B2,Mar-2024,Current,fractional,Cash,19846.77,19099.07,9413.73,5088.6,338.51
Training and development officer,1,AZ,RENT,65309,Source Verified,43.28,,Verified,5.85,0,,2017,9,40,15,279751,156790,2,4,,0,4801,5,0,12,16,0,0,9,17290,15,7,3,1,93.0,0,0,debt_consolidation,joint,24891,36,7.94,592.64,C,B1,Aug-2025,Current,fractional,DirectPay,14645.42,12193.62,9560.04,3808.3,273.33
Dancer,0,IL,OWN,113000,Source Verified,39.22,247330.0,Not Verified,13.43,0,26.0,1990,0,48,13,95756,2316,0,2,,1,182,1,3,19,15,0,2,2,14569,10,10,1,3,69.7,0,0,medical,joint,42805,60,20.15,1297.12,E,D2,Dec-2024,Current,fractional,DirectPay,42291.67,29985.74,19304.68,2718.71,131.32
Charity fundraiser,7,PA,RENT,149317,Not Verified,35.95,,Verified,,2,,2016,4,48,24,116123,100981,1,2,,0,3287,7,3,20,17,1,2,9,47098,13,5,8,2,92.9,0,0,vacation,individual,23991,36,20.72,959.64,D,B1,Nov-2025,Charged Off,fractional,DirectPay,10028.47,16863.65,13824.02,2885.38,416.48
Solicitor,0,NJ,OWN,56460,Verified,8.75,179774.0,Verified,,1,,2013,6,49,23,246780,185423,1,3,,0,3776,3,13,3,6,1,1,8,10546,22,12,3,3,82.1,0,0,moving,individual,7126,60,5.22,148.46,A,A2,Jan-2026,Current,fractional,Cash,3020.53,54.7,2638.27,1381.19,227.62
Electronics engineer,3,AZ,RENT,54499,Not Verified,17.43,179432.0,Verified,13.03,0,,2006,4,40,17,46081,40466,0,0,,0,2258,2,6,16,6,1,2,7,25241,1,12,6,3,86.6,0,0,medical,joint,38388,60,12.92,1066.33,C,B2,Oct-2024,Current,whole,DirectPay,7273.18,30482.7,18903.49,2098.35,391.35
Writer,3,NY,RENT,150877,Not Verified,30.55,218614.0,Not Verified,,0,19.0,2004,0,43,20,31218,1836,1,0,,2,3542,0,6,1,15,1,0,3,40287,21,14,9,0,92.4,0,0,small_business,joint,11777,60,11.96,619.84,D,D1,Jul-2025,Current,whole,Cash,4461.65,9275.78,5225.17,1644.8,15.03
Diagnostic radiographer,3,AZ,OWN,144061,Not Verified,7.74,65815.0,Not Verified,,0,,1997,6,34,17,195758,49158,1,1,62.0,2,3866,6,1,20,10,0,0,6,48850,8,8,7,4,97.0,0,0,moving,joint,37065,36,20.65,975.39,B,A1,Feb-2025,Current,fractional,DirectPay,15938.24,8305.38,5612.51,749.13,133.88
Land,0,FL,RENT,90195,Source Verified,42.4,,Verified,,0,,1986,8,5,8,104248,69187,2,1,42.0,2,4520,3,13,4,3,0,1,7,41345,12,4,0,3,72.7,0,0,small_business,joint,44997,36,19.71,762.66,A,C2,Jul-2025,Current,whole,DirectPay,36113.77,41058.54,23803.31,3382.52,64.28
Intelligence analyst,8,NY,RENT,80377,Source Verified,26.48,81827.0,Source Verified,,0,31.0,1990,3,49,13,126350,87811,2,4,11.0,2,1477,3,8,19,9,0,2,2,23622,11,4,5,1,68.2,0,0,debt_consolidation,joint,42267,60,20.32,3019.07,A,C1,May-2025,Current,fractional,Cash,31555.26,37149.22,8517.21,802.49,52.9
Research scientist (life sciences),2,CA,OWN,31685,Verified,6.79,248451.0,Verified,27.47,0,49.0,1988,2,21,19,10390,8044,0,3,,0,3422,1,2,5,15,0,1,6,16073,18,13,6,3,95.4,0,0,small_business,individual,34447,60,9.98,1377.88,C,C2,Mar-2026,Current,whole,DirectPay,26444.11,18371.69,4035.82,2449.2,403.79
"Radiographer, diagnostic",6,NJ,MORTGAGE,130338,Source Verified,35.32,130656.0,Not Verified,,0,29.0,1991,2,43,23,230628,73583,0,3,47.0,1,3929,4,13,20,7,0,1,8,38325,13,7,5,3,60.6,0,0,vacation,joint,19149,36,20.31,1126.41,B,A2,Dec-2025,Current,fractional,Cash,7281.7,16628.78,2413.98,1166.26,75.24
"Exhibitions officer, museum/gallery",9,TX,OWN,108501,Not Verified,41.31,146641.0,Verified,,0,31.0,1991,7,23,21,132065,54206,0,2,,2,1937,0,8,14,15,1,0,3,34211,17,3,5,4,96.9,0,0,medical,individual,25598,60,22.39,1599.88,E,D2,Sep-2025,Current,whole,DirectPay,4193.75,5636.92,10274.86,2385.93,476.89
Ergonomist,7,NC,MORTGAGE,59212,Verified,16.75,,Verified,36.32,1,7.0,1994,1,41,21,23937,18095,0,2,,0,2895,5,1,7,2,1,1,6,8072,1,5,9,1,87.2,0,0,debt_consolidation,individual,9991,36,20.59,555.06,C,B2,Jan-2025,Current,fractional,DirectPay,595.0,4892.01,2932.33,114.41,54.06
"Programmer, systems",6,NC,OWN,82891,Not Verified,27.47,,Not Verified,,2,,1987,5,36,3,263573,80706,2,2,74.0,1,1208,6,10,15,4,1,2,8,21791,14,11,9,0,68.5,0,0,moving,joint,18154,36,10.32,432.24,E,E1,Jan-2024,Current,whole,DirectPay,15166.15,17548.58,14087.64,1598.35,48.92
"Loss adjuster, chartered",8,AZ,MORTGAGE,94412,Verified,24.62,,Source Verified,34.26,1,25.0,2004,0,22,8,298394,188643,0,0,,1,3768,2,0,8,9,0,2,1,32353,6,3,4,3,97.0,0,0,home_improvement,individual,38310,60,7.31,1094.57,E,E2,May-2023,Current,whole,DirectPay,6297.96,9179.82,30258.23,6471.96,20.63
Database administrator,10,NC,MORTGAGE,73129,Verified,12.26,118647.0,Not Verified,30.49,2,4.0,2014,5,37,4,37425,31338,2,3,,2,4195,0,14,9,6,0,2,5,25414,19,14,6,2,98.7,0,0,small_business,individual,39679,36,8.14,1202.39,D,C1,Sep-2025,Current,whole,Cash,11278.44,8057.89,29184.01,2752.31,473.22
Dietitian,10,FL,RENT,35664,Verified,19.59,,Verified,34.58,0,,2008,2,46,9,173605,37999,2,4,,1,74,5,5,7,19,1,1,6,30367,23,9,7,1,71.6,0,0,home_improvement,individual,49796,60,19.02,957.62,C,E1,Aug-2023,Current,whole,DirectPay,5960.23,40520.59,12893.5,1340.9,335.84
Advertising account planner,1,CA,MORTGAGE,74605,Not Verified,9.79,,Verified,,0,,2010,0,5,24,221917,189060,0,1,,1,2621,7,3,14,15,1,1,1,17277,10,1,7,4,69.2,0,0,credit_card,joint,7562,36,21.33,180.05,D,E1,Dec-2025,Current,fractional,DirectPay,1609.15,2146.78,776.16,227.89,291.12
"Engineer, land",9,IL,MORTGAGE,107515,Source Verified,6.48,214645.0,Not Verified,,1,,1996,2,38,20,219102,198760,0,4,,0,4835,2,9,19,3,0,1,5,41524,19,9,3,0,81.0,0,0,vacation,individual,2145,60,15.71,93.26,A,B2,Aug-2023,Current,fractional,DirectPay,71.21,31.64,431.94,277.41,357.06
Newspaper journalist,7,OH,MORTGAGE,71410,Not Verified,16.93,,Verified,,0,,2015,1,8,20,253869,87242,0,3,,1,4505,5,13,11,4,0,1,2,29303,11,10,9,4,62.4,0,0,debt_consolidation,joint,2487,60,22.92,50.76,B,B1,Jun-2025,Current,whole,Cash,826.67,2110.85,1273.37,75.35,458.79
Museum/gallery exhibitions officer,1,NY,OWN,112651,Source Verified,26.42,,Source Verified,35.16,0,,2008,5,22,13,42147,2589,2,4,89.0,2,2156,2,13,12,14,1,1,4,35774,15,10,2,3,98.4,0,0,home_improvement,individual,36479,36,12.94,868.55,E,D1,May-2025,Fully Paid,whole,DirectPay,7248.68,33038.55,16610.21,1425.91,93.47
Farm manager,9,AZ,MORTGAGE,110055,Not Verified,37.12,,Verified,,0,,1988,1,46,18,55407,21651,1,4,,0,3101,4,8,5,8,0,0,2,21807,4,9,7,3,71.9,0,0,small_business,joint,17257,36,20.25,367.17,E,B2,Nov-2024,Current,whole,Cash,14816.64,9990.86,8525.75,1771.66,367.02
Lobbyist,5,NJ,OWN,171970,Not Verified,28.23,,Source Verified,,0,,2007,4,22,24,60560,1825,1,2,,1,2254,7,8,11,14,1,0,2,7496,7,14,8,1,81.6,0,0,small_business,individual,13949,36,12.12,774.94,D,D1,Apr-2023,Fully Paid,fractional,Cash,1926.12,6539.05,10080.79,2083.51,373.31
Ecologist,4,NJ,OWN,62809,Not Verified,5.81,,Verified,27.31,1,,2014,9,6,21,139090,50002,0,0,,0,2676,0,3,4,5,1,1,6,6395,6,3,0,0,61.7,0,0,credit_card,individual,9108,36,19.0,260.23,C,C1,Oct-2023,Late (16-30 days),whole,DirectPay,1583.07,293.92,4417.48,62.35,268.35
Chief Executive Officer,1,AZ,OWN,84150,Not Verified,7.58,,Source Verified,13.22,1,,2008,7,31,17,205995,40130,1,2,,2,2546,4,8,6,8,0,1,8,5854,15,14,7,3,62.0,0,0,credit_card,individual,49010,60,18.58,2722.78,D,C2,Sep-2025,Current,whole,Cash,14016.33,44550.24,16512.53,3585.11,288.09
Medical sales representative,9,NJ,RENT,139722,Verified,37.82,77819.0,Verified,,0,,2003,9,6,8,118078,16441,2,3,,0,2970,4,14,8,7,1,1,2,31976,21,7,2,2,91.6,0,0,small_business,individual,32550,60,19.41,638.24,E,A2,Mar-2026,Late (16-30 days),fractional,Cash,13199.29,6985.28,21703.31,6046.66,145.17
Chief of Staff,3,NJ,OWN,27394,Source Verified,29.08,,Source Verified,34.52,0,,1993,7,37,3,253880,182620,1,1,,1,2518,0,10,20,13,0,2,4,18912,2,13,4,3,94.0,0,0,medical,joint,41091,60,23.89,1867.77,E,A2,Sep-2023,Current,whole,DirectPay,10119.78,22833.39,16597.76,3355.32,430.86
Retail merchandiser,3,PA,OWN,169298,Not Verified,10.93,,Not Verified,36.44,0,,1988,7,38,11,225241,74376,0,1,,1,1716,4,13,20,10,0,2,8,47184,1,14,9,4,96.2,0,0,moving,joint,8018,36,20.39,200.45,A,E2,Aug-2023,Fully Paid,whole,DirectPay,1729.58,1209.27,986.92,428.75,40.3
"Journalist, magazine",7,NC,RENT,39977,Verified,36.88,,Verified,30.64,0,,1989,0,36,6,286871,230595,0,4,27.0,0,4122,1,6,17,6,1,0,4,49928,14,10,0,0,78.0,0,0,small_business,individual,45594,60,5.29,991.17,C,E2,Aug-2023,Late (16-30 days),fractional,Cash,37085.21,17262.75,9317.07,851.66,135.97
"Optician, dispensing",5,IL,MORTGAGE,37859,Not Verified,17.06,,Not Verified,8.49,0,1.0,1993,5,39,21,270383,85997,1,4,41.0,0,1270,5,13,5,16,0,0,3,28473,23,11,4,3,73.4,0,0,other,joint,11807,60,6.95,236.14,C,E2,Jan-2025,Current,whole,DirectPay,2425.17,6933.88,3093.73,1454.59,334.0
Therapeutic radiographer,8,AZ,MORTGAGE,51615,Verified,9.1,,Verified,,0,,1999,6,18,5,275031,153336,0,0,,2,948,0,14,0,11,1,0,6,32916,10,13,8,0,90.1,0,0,vacation,individual,42268,60,21.17,2224.63,C,E2,May-2025,Current,whole,DirectPay,22780.73,34724.76,14000.73,5593.76,454.58
Barrister,9,FL,OWN,48913,Verified,27.06,,Source Verified,,0,,2009,8,41,11,170414,57128,0,0,,2,3806,0,8,17,5,0,1,5,14005,3,12,2,1,73.0,0,0,vacation,individual,11137,60,16.73,742.47,D,B1,Nov-2025,Current,whole,Cash,3532.97,1567.65,5154.4,1371.85,284.31
Psychiatric nurse,10,NC,OWN,163871,Verified,17.32,227798.0,Source Verified,,1,,2002,4,39,1,16204,6718,1,1,,2,4607,2,4,22,3,0,1,2,25009,17,14,5,2,60.4,0,0,other,joint,34890,36,9.66,2907.5,C,A1,Jan-2024,Fully Paid,whole,Cash,22529.9,13045.74,21630.56,2427.47,102.77
"Therapist, drama",9,TX,RENT,155335,Verified,40.95,,Source Verified,,0,,1998,6,41,7,175532,132892,2,0,,0,1733,0,5,19,14,0,1,4,26218,7,7,8,0,86.7,0,0,credit_card,joint,32632,60,19.33,604.3,E,A1,Apr-2025,Current,fractional,DirectPay,5865.0,21260.69,3949.98,3566.97,480.79
Broadcast presenter,3,NY,OWN,72978,Verified,19.69,205338.0,Not Verified,,0,,1995,1,32,6,182385,162473,0,2,,1,3491,3,10,20,13,0,2,9,49206,24,1,6,3,92.8,0,0,vacation,joint,14695,36,21.78,299.9,A,C1,Nov-2023,Fully Paid,whole,Cash,981.87,13507.21,10580.66,2504.99,383.48
Architect,6,CA,OWN,28345,Source Verified,39.09,191410.0,Not Verified,,1,,1995,0,34,17,12125,2074,2,2,,1,2770,5,7,4,13,1,0,8,32463,5,2,0,4,91.5,0,0,credit_card,joint,6004,60,18.41,333.56,D,E2,Feb-2025,Current,whole,DirectPay,3639.43,4889.37,292.36,776.51,358.81
Advertising copywriter,10,NC,OWN,92885,Verified,6.35,,Not Verified,,0,,2007,3,40,15,273585,10400,0,3,,0,3083,0,2,16,2,1,2,3,16604,3,5,6,0,72.2,0,0,other,individual,17584,36,13.81,799.27,D,D2,Jul-2023,Current,fractional,DirectPay,3577.7,14454.23,11782.92,3181.71,372.79
Occupational therapist,1,FL,MORTGAGE,56522,Not Verified,23.52,,Verified,10.89,0,,1997,5,28,18,111731,52875,0,4,,1,3784,4,3,10,16,0,1,4,49872,12,6,4,2,74.7,0,1,debt_consolidation,joint,16502,36,10.54,485.35,A,B1,Feb-2024,Current,whole,DirectPay,11813.29,6390.77,10654.13,2168.87,43.46
Education administrator,6,NY,MORTGAGE,32378,Not Verified,31.45,198628.0,Verified,8.14,0,2.0,1995,2,16,24,263700,23055,2,2,,0,475,1,5,22,17,0,0,3,41891,21,7,2,4,70.9,0,0,home_improvement,individual,42880,60,18.25,779.64,E,D1,Nov-2025,Current,fractional,Cash,23651.87,802.82,13027.68,352.75,231.12
English as a foreign language teacher,9,NJ,MORTGAGE,73130,Source Verified,31.6,,Not Verified,,2,,1995,2,40,11,50021,45900,1,4,58.0,1,68,6,14,22,1,0,1,5,43143,3,1,4,2,86.7,0,0,credit_card,joint,10497,60,21.67,874.75,D,E2,Dec-2024,Current,whole,Cash,5414.58,1439.42,901.7,66.01,245.87
Senior tax professional/tax inspector,8,IL,MORTGAGE,178395,Verified,29.3,144996.0,Verified,,0,,1985,7,45,21,90378,77810,2,0,,0,3795,1,2,22,2,1,1,5,6858,14,11,3,1,91.3,0,0,credit_card,joint,11407,60,21.68,518.5,E,A2,Jun-2024,Current,fractional,DirectPay,692.8,10320.31,2963.46,55.98,453.37
Television/film/video producer,2,FL,OWN,125957,Verified,43.13,,Source Verified,,1,36.0,2002,4,21,11,252862,136450,2,4,,2,4959,7,12,14,17,0,1,3,45745,24,12,7,4,99.1,0,0,small_business,individual,2072,60,18.25,37.67,E,C2,Jul-2023,Late (16-30 days),fractional,DirectPay,1604.16,1216.22,615.56,85.06,401.54
Pensions consultant,6,TX,RENT,88679,Source Verified,41.99,248949.0,Not Verified,,0,,1996,0,42,11,116852,111978,1,1,,0,4563,2,10,18,9,1,0,3,23738,18,7,7,3,60.8,0,0,other,individual,35812,60,21.2,778.52,E,D1,Jul-2024,Late (31-120 days),fractional,DirectPay,2697.26,8908.76,22127.81,4364.22,370.23
Glass blower/designer,3,FL,OWN,76959,Verified,43.61,,Not Verified,,0,23.0,2007,3,25,10,87170,27828,1,2,,0,82,3,8,22,7,0,1,6,34068,20,6,4,0,73.2,0,0,vacation,joint,43388,60,9.84,986.09,A,B1,Nov-2023,Current,fractional,Cash,30296.65,1608.46,17961.69,3649.91,254.07
Charity officer,6,NY,MORTGAGE,163647,Not Verified,44.74,105967.0,Not Verified,5.37,0,2.0,1989,1,39,18,249636,18790,1,0,,0,3104,3,10,15,2,0,0,1,49578,10,11,6,3,90.8,0,0,small_business,joint,40246,60,7.36,2515.38,C,C2,May-2023,Current,fractional,DirectPay,35291.02,30190.45,10682.8,1143.44,37.37
Optometrist,6,OH,OWN,65110,Not Verified,7.53,100807.0,Source Verified,,0,,2013,0,24,10,278305,39903,0,0,,0,4633,5,6,11,6,0,0,5,16644,9,11,9,4,86.5,0,0,vacation,joint,6475,36,16.26,150.58,C,C2,Aug-2025,Fully Paid,whole,DirectPay,5796.79,2142.53,4751.96,568.58,147.79
"Engineer, manufacturing",4,IL,MORTGAGE,119204,Not Verified,36.44,,Source Verified,20.63,0,,2006,3,12,2,165711,114763,2,1,,1,2320,7,7,19,5,1,2,2,34891,1,14,2,1,90.6,0,0,debt_consolidation,individual,18173,60,21.74,757.21,A,C2,Jan-2026,Current,whole,DirectPay,5432.86,9304.05,13974.19,2100.49,31.3
Facilities manager,3,IL,RENT,160747,Source Verified,32.32,136804.0,Source Verified,24.57,0,52.0,1993,7,38,16,168484,156974,2,4,,0,431,6,2,18,15,1,2,2,48905,4,4,9,0,77.7,0,0,debt_consolidation,joint,47611,60,5.64,865.65,C,B2,May-2023,Current,fractional,DirectPay,26227.0,40343.82,32972.6,5549.23,266.03
Theatre director,4,CA,RENT,139496,Not Verified,12.32,,Not Verified,34.25,0,,2008,1,23,15,200631,11587,1,0,,2,4394,2,4,1,14,0,1,4,27683,2,2,3,2,71.8,0,0,vacation,individual,30298,60,18.89,1782.24,E,A1,Nov-2024,Current,fractional,Cash,21928.2,25189.51,23146.83,5000.48,421.88
Forest/woodland manager,7,AZ,RENT,149447,Verified,21.81,111494.0,Source Verified,,0,18.0,2013,8,33,10,153723,93910,0,1,,0,2208,7,9,12,10,1,2,8,30937,17,8,0,1,94.7,0,0,moving,joint,13997,36,10.51,311.04,B,E2,May-2025,Current,whole,Cash,8281.73,3591.48,3570.1,1968.21,336.39
"Engineer, maintenance (IT)",4,OH,OWN,119594,Not Verified,27.69,218596.0,Not Verified,,0,48.0,1986,0,12,20,176114,9944,2,4,,1,2136,0,13,19,18,0,2,9,20248,17,5,2,2,79.6,0,0,debt_consolidation,joint,29751,36,13.82,561.34,D,B2,Oct-2023,Current,fractional,Cash,19575.11,17992.15,14584.24,2144.1,51.17
Television floor manager,8,CA,MORTGAGE,67182,Verified,21.27,110028.0,Not Verified,,1,,1993,9,18,12,259488,234959,2,0,,1,922,5,10,6,5,1,1,1,18288,19,12,5,0,96.9,0,0,debt_consolidation,joint,25811,36,17.17,452.82,B,C1,Feb-2026,Current,whole,DirectPay,5526.35,17373.14,9812.45,2844.84,102.81
Youth worker,0,TX,RENT,109195,Source Verified,37.64,,Verified,9.22,0,,2012,8,47,14,137770,67113,1,4,,2,2165,7,0,7,17,0,2,1,19105,22,3,5,0,82.8,0,0,small_business,joint,48935,36,7.92,3764.23,E,D2,Feb-2024,Current,fractional,Cash,8566.5,2860.64,6758.66,8594.8,50.12
Special educational needs teacher,7,FL,MORTGAGE,68740,Not Verified,37.74,199778.0,Not Verified,17.37,2,,2007,9,30,5,131901,30737,2,0,62.0,0,1702,2,10,11,10,0,2,9,13121,1,6,7,1,95.0,0,0,vacation,joint,38041,60,18.43,691.65,D,D1,Aug-2024,Current,whole,Cash,21327.04,16653.52,2883.78,3361.85,398.76
Chartered legal executive (England and Wales),1,FL,RENT,46633,Not Verified,32.63,,Verified,,0,,2012,1,20,13,148454,81932,2,2,,1,1767,4,14,21,8,0,2,4,28436,9,8,5,1,64.6,0,0,other,joint,42617,36,5.64,869.73,C,E2,Dec-2024,Current,whole,Cash,20093.47,15241.51,9332.7,7767.4,307.57
"Editor, film/video",7,NC,MORTGAGE,72676,Verified,14.5,,Verified,25.15,0,,2000,9,9,17,115008,102499,0,3,77.0,2,4308,6,4,13,4,0,2,6,44543,21,5,1,2,73.0,0,0,credit_card,individual,19656,36,17.98,401.14,D,D1,May-2023,Current,whole,DirectPay,9520.84,6223.56,5923.89,3584.84,95.43
Tour manager,9,AZ,RENT,50189,Source Verified,23.93,,Source Verified,9.76,0,,2017,0,41,22,149694,9181,0,1,,2,4793,1,0,0,5,1,2,2,19260,13,6,8,1,71.6,0,0,moving,individual,23456,60,15.31,902.15,C,E1,May-2024,Current,fractional,DirectPay,16356.71,7075.46,527.66,3654.77,146.8
Chartered accountant,6,IL,OWN,42733,Source Verified,40.4,,Not Verified,,0,5.0,1999,8,36,2,203356,122512,2,2,,0,586,1,6,22,1,0,1,8,40549,3,7,8,1,72.4,0,0,medical,individual,25785,36,16.88,644.62,A,D1,Jan-2025,Current,whole,DirectPay,1513.87,910.31,10177.99,2560.04,111.92
Television camera operator,7,NJ,RENT,175179,Not Verified,44.07,72055.0,Not Verified,,0,8.0,2008,3,19,5,51992,5562,2,4,77.0,2,4683,5,0,19,5,1,0,6,12332,18,7,9,1,97.4,0,0,moving,joint,5712,60,17.12,109.85,E,E2,Jul-2025,Fully Paid,whole,DirectPay,1193.86,4935.88,2379.85,546.43,493.49
Radio producer,5,CA,MORTGAGE,129415,Source Verified,42.0,160911.0,Source Verified,25.66,0,,2001,1,17,15,67748,55670,2,0,73.0,0,521,1,11,7,16,1,2,7,43926,4,8,3,0,82.2,0,0,home_improvement,joint,49140,36,8.54,847.24,B,D2,Jun-2023,Current,whole,DirectPay,10908.94,26598.35,11433.94,7070.53,121.71
Quantity surveyor,6,AZ,MORTGAGE,62629,Not Verified,24.24,,Not Verified,,0,,1992,2,49,21,275921,2967,2,3,38.0,0,2068,2,6,21,14,0,2,8,33261,12,8,9,0,74.0,0,1,other,individual,39826,60,16.78,1475.04,A,E1,Nov-2025,Current,whole,Cash,33960.09,21152.46,15162.26,4183.64,223.58
"Engineer, electrical",8,NC,RENT,124930,Verified,10.81,198973.0,Source Verified,,1,,2006,0,31,6,191341,102686,1,3,53.0,1,1441,6,3,9,15,1,1,9,36828,2,7,8,4,87.6,0,0,small_business,individual,4933,36,16.76,91.35,E,A2,Apr-2024,Current,whole,Cash,3523.4,595.77,910.07,813.68,483.43
Regulatory affairs officer,0,IL,MORTGAGE,164661,Not Verified,7.89,,Not Verified,10.69,0,47.0,2012,7,47,23,197346,22926,1,4,,2,3559,5,2,17,18,1,0,4,3699,13,11,6,3,87.1,0,0,vacation,individual,24972,36,13.48,861.1,B,D2,Oct-2025,Current,fractional,DirectPay,5572.65,9572.64,17877.13,337.23,459.44
Music tutor,10,CA,MORTGAGE,102073,Source Verified,28.02,67891.0,Source Verified,22.38,0,13.0,1999,8,35,13,250191,63726,1,4,,0,1554,6,13,12,15,1,1,9,22462,18,11,1,2,82.4,0,0,debt_consolidation,joint,10414,36,8.02,335.94,A,D1,Mar-2025,Current,fractional,Cash,5038.75,7342.19,7565.13,1454.92,196.87
"Surveyor, quantity",5,CA,MORTGAGE,175892,Not Verified,40.5,159639.0,Verified,,0,,1987,8,34,18,104421,87416,0,1,,2,3716,3,0,0,6,0,1,4,5051,12,12,2,0,63.5,0,0,other,individual,23344,60,22.14,598.56,E,B2,Jun-2024,Charged Off,fractional,DirectPay,19610.29,12058.38,16292.09,1875.78,460.24
Health and safety inspector,0,AZ,OWN,28686,Not Verified,40.94,,Source Verified,24.04,0,26.0,2009,5,19,20,78872,41021,2,0,,2,1775,3,13,14,10,1,1,3,5466,22,7,7,2,66.7,0,0,medical,individual,21782,36,16.94,777.93,C,E1,Jun-2024,Late (16-30 days),fractional,DirectPay,4449.66,3250.76,1408.99,2223.63,33.77
Associate Professor,0,FL,MORTGAGE,69390,Not Verified,5.75,,Source Verified,25.38,0,,2013,2,26,3,95707,59931,0,4,,2,1934,2,1,11,14,1,0,7,23346,8,3,1,3,64.6,0,0,vacation,individual,36074,60,15.18,3006.17,C,E2,Jan-2024,Current,whole,DirectPay,11566.41,8943.62,5932.37,658.61,189.17
"Biochemist, clinical",0,NY,OWN,140173,Verified,5.6,,Source Verified,,0,,2006,3,8,19,106136,30229,1,0,,1,4723,2,4,5,16,0,2,7,13797,20,13,1,2,66.5,0,0,debt_consolidation,individual,6861,36,16.01,490.07,D,E1,Sep-2024,Current,whole,DirectPay,3234.55,5995.08,139.61,1151.07,432.53
Industrial/product designer,0,NJ,RENT,142414,Source Verified,18.31,128722.0,Verified,29.66,1,3.0,1996,1,9,14,244494,23189,1,3,2.0,2,2528,6,10,4,18,0,1,2,10247,4,7,9,3,90.1,0,0,small_business,joint,34050,60,7.74,1064.06,E,E1,Sep-2024,Current,fractional,DirectPay,3559.54,5534.36,18772.53,2615.35,421.79
Contracting civil engineer,8,NJ,RENT,76257,Source Verified,42.24,148133.0,Source Verified,11.7,1,,2002,9,31,19,57525,6678,2,3,,0,850,0,14,7,19,1,0,6,10120,11,5,0,1,86.6,0,0,moving,individual,10381,36,19.58,185.38,B,B1,Mar-2026,Late (16-30 days),whole,DirectPay,918.75,8951.68,4023.28,798.6,96.66
